Line,Issue Type,Sentence,Suggested Fix
798,Missing punctuation,"Ngām ǎ cák lò kīkēē, mɑ̄shwī' á kūɑ̄. | Ma belle-mère est morte. [L'époux parle] | My mother-in-law is dead. [Wife is speaking]","Add punctuation at the end, e.g., 'Ngām ǎ cák lò kīkēē, mɑ̄shwī' á kūɑ̄. | Ma belle-mère est morte. [L'époux parle] | My mother-in-law is dead. [Wife is speaking].'"
971,Missing punctuation,Pěn (mɑ̀)ngén tɑ̌ hɑ̄ ? | Jusqu'où allez-vous ? (À plusieurs personnes) | How far are you going? (To many people),"Add punctuation at the end, e.g., 'Pěn (mɑ̀)ngén tɑ̌ hɑ̄ ? | Jusqu'où allez-vous ? (À plusieurs personnes) | How far are you going? (To many people).'"
977,Missing punctuation,Ǒ mɑ́ yǐ hɑ̄ ? Ǒ mɑ́ mīā hɑ̄ ? | D'où es-tu ? [Question à un homme] | Where are you from? [Question to a man],"Add punctuation at the end, e.g., 'Ǒ mɑ́ yǐ hɑ̄ ? Ǒ mɑ́ mīā hɑ̄ ? | D'où es-tu ? [Question à un homme] | Where are you from? [Question to a man].'"
1081,Missing punctuation,Ǒ mɑ́ nshwìè mbā' á ? | Es-tu célibataire ? (En s'adressant à un homme) | Are you single? (Addressing a man),"Add punctuation at the end, e.g., 'Ǒ mɑ́ nshwìè mbā' á ? | Es-tu célibataire ? (En s'adressant à un homme) | Are you single? (Addressing a man).'"
1082,Missing punctuation,Ǒ mɑ́ nshwìè mʉ̀nzhwīē é ? | Es-tu célibataire ? (En s'adressant à une femme) | Are you single? (Addressing a woman),"Add punctuation at the end, e.g., 'Ǒ mɑ́ nshwìè mʉ̀nzhwīē é ? | Es-tu célibataire ? (En s'adressant à une femme) | Are you single? (Addressing a woman).'"
1189,Missing punctuation,Nzɑ́ kāā lā. | Je suis éperdu. (Litt. La nature m’a encerclé.) | I am distraught. (Lit. Nature has surrounded me.),"Add punctuation at the end, e.g., 'Nzɑ́ kāā lā. | Je suis éperdu. (Litt. La nature m’a encerclé.) | I am distraught. (Lit. Nature has surrounded me.).'"
1202,Missing capitalization,ɑ́ yāā bɑ̄ fà'á ! | Qu'il en soit ainsi ! | Let it be !,Capitalize the first letter: 'Ɑ́ yāā bɑ̄ fà'á ! | Qu'il en soit ainsi ! | Let it be !'
1416,Missing punctuation,Ǹ kɑ̀' ghʉ́ mbǎ'ntām làh… | Je n'ai pas le courage de… | I do not have the courage to…,"Add punctuation at the end, e.g., 'Ǹ kɑ̀' ghʉ́ mbǎ'ntām làh… | Je n'ai pas le courage de… | I do not have the courage to….'"
1436,Missing punctuation,Pèn zhʉ̄ɑ̄' nshù yēē ! Pèn lā' nshù yēē ! | Taisez-vous ! | Shut up! Keep quiet! (To many people),"Add punctuation at the end, e.g., 'Pèn zhʉ̄ɑ̄' nshù yēē ! Pèn lā' nshù yēē ! | Taisez-vous ! | Shut up! Keep quiet! (To many people).'"
1485,Missing punctuation,Yáá mɑ́ ghɑ̀' pīē mɑ́… Yáá mɑ́ túfhù mɑ́… | Dommage que… | It is a shame that … it is a pity that…,"Add punctuation at the end, e.g., 'Yáá mɑ́ ghɑ̀' pīē mɑ́… Yáá mɑ́ túfhù mɑ́… | Dommage que… | It is a shame that … it is a pity that….'"
1501,Missing punctuation,M̀ fhʉ̌nzhī… m̀ fhʉ̌ tɑ̀ nzhī… Pá' nzhī… | Si j'avais su ! | If I had known…,"Add punctuation at the end, e.g., 'M̀ fhʉ̌nzhī… m̀ fhʉ̌ tɑ̀ nzhī… Pá' nzhī… | Si j'avais su ! | If I had known….'"
1568,Missing punctuation,Kɑ́ lī ? | Quoi ? Comment ? | What? (When someone is surprised),"Add punctuation at the end, e.g., 'Kɑ́ lī ? | Quoi ? Comment ? | What? (When someone is surprised).'"
1766,Missing punctuation,Yáá yá' sī mvàk yì… | Il y a longtemps que… | It has been a long time since…,"Add punctuation at the end, e.g., 'Yáá yá' sī mvàk yì… | Il y a longtemps que… | It has been a long time since….'"
1794,Missing punctuation,Líé’nzɑ́ ngɑ̀ɑ̄nzɑ́ mɑ̂ : | Les jours de la semaine sont : | The days of the week are:,"Add punctuation at the end, e.g., 'Líé’nzɑ́ ngɑ̀ɑ̄nzɑ́ mɑ̂ : | Les jours de la semaine sont : | The days of the week are:.'"
1795,Missing punctuation,Nsū'kwɑ̀/Nthʉ̄'kwɑ̀. |…|…,"Add punctuation at the end, e.g., 'Nsū'kwɑ̀/Nthʉ̄'kwɑ̀. |…|….'"
1796,Missing punctuation,Nsū'ntāā/Nthʉ̄'ntāā ou líé'ngā'. |…|…,"Add punctuation at the end, e.g., 'Nsū'ntāā/Nthʉ̄'ntāā ou líé'ngā'. |…|….'"
1797,Missing punctuation,Líé'nkwè'/líé'nkə̀'. |…|…,"Add punctuation at the end, e.g., 'Líé'nkwè'/líé'nkə̀'. |…|….'"
1798,Missing punctuation,Nkɑ́ɑ́ntēē. |…|…,"Add punctuation at the end, e.g., 'Nkɑ́ɑ́ntēē. |…|….'"
1799,Missing punctuation,Nzêngòò ou nshwīē'kò. |…|…,"Add punctuation at the end, e.g., 'Nzêngòò ou nshwīē'kò. |…|….'"
1800,Missing punctuation,Ncômntēē. |…|…,"Add punctuation at the end, e.g., 'Ncômntēē. |…|….'"
1801,Missing punctuation,Nzîngǔ. |…|…,"Add punctuation at the end, e.g., 'Nzîngǔ. |…|….'"
1802,Missing punctuation,Nzîsǒ. |…|…,"Add punctuation at the end, e.g., 'Nzîsǒ. |…|….'"
1803,Missing punctuation,Ŋúnzɑ́ ngǔ’nzɑ́ mɑ̂ : | Les mois de l’année sont : | The months of the year are :,"Add punctuation at the end, e.g., 'Ŋúnzɑ́ ngǔ’nzɑ́ mɑ̂ : | Les mois de l’année sont : | The months of the year are :.'"
1903,Missing capitalization,ɑ́ yāā shʉ́ɑ́ nshǔ ò ! | Bon appétit ! | Bon appétit! Enjoy your meal.,Capitalize the first letter: 'Ɑ́ yāā shʉ́ɑ́ nshǔ ò ! | Bon appétit ! | Bon appétit! Enjoy your meal.'
1909,Missing punctuation,Nkòmnkòm/nkə̀mnkə̀b. | Couscous de manioc. | Cassava couscous (foufou),"Add punctuation at the end, e.g., 'Nkòmnkòm/nkə̀mnkə̀b. | Couscous de manioc. | Cassava couscous (foufou).'"
2005,Missing punctuation,Làh nsɑ̄' ndʉ̄ɑ̄… / Mbì' … (cf. Mbí': Porter une lourde charge) | Être responsable de… | To be in charge of…,"Add punctuation at the end, e.g., 'Làh nsɑ̄' ndʉ̄ɑ̄… / Mbì' … (cf. Mbí': Porter une lourde charge) | Être responsable de… | To be in charge of….'"
2056,Missing punctuation,"Nɑ́ yà mbʉ́ɑ́ yēē/yīī…, nɑ́ yà kwà'sì… | A mon avis… | In my opinion…","Add punctuation at the end, e.g., 'Nɑ́ yà mbʉ́ɑ́ yēē/yīī…, nɑ́ yà kwà'sì… | A mon avis… | In my opinion….'"
2093,Missing punctuation,Yáá mɑ́ sìkə̀'nkə́'/sìkwè'nkwé'. | C'est obligatoire. | It is compulsory to… It is a must to…,"Add punctuation at the end, e.g., 'Yáá mɑ́ sìkə̀'nkə́'/sìkwè'nkwé'. | C'est obligatoire. | It is compulsory to… It is a must to….'"
2147,Missing punctuation,Ngɑ̌ mɑ̀mbōh mɑ́… | Je crains que… | I am afraid that…,"Add punctuation at the end, e.g., 'Ngɑ̌ mɑ̀mbōh mɑ́… | Je crains que… | I am afraid that….'"
2158,Missing punctuation,Ngɑ̌ kwà' mɑ́… | Je pense que… | I think that…,"Add punctuation at the end, e.g., 'Ngɑ̌ kwà' mɑ́… | Je pense que… | I think that….'"
2174,Missing punctuation,Ǹ jǎt tɑ̄ mɑ̄ fhʉ̄… | Je viens de rentrer de… | I have just come back from…,"Add punctuation at the end, e.g., 'Ǹ jǎt tɑ̄ mɑ̄ fhʉ̄… | Je viens de rentrer de… | I have just come back from….'"
2179,Missing punctuation,Ngɑ̌ kwà' mɑ́… Ngɑ̌ mɑ̀nkwá' mbīɑ̄ mɑ́… | J'espère que… | I hope that…,"Add punctuation at the end, e.g., 'Ngɑ̌ kwà' mɑ́… Ngɑ̌ mɑ̀nkwá' mbīɑ̄ mɑ́… | J'espère que… | I hope that….'"
2182,Missing punctuation,Tɑ́ khʉ̀ɑ̀' lí' tə̄'. Sì khʉ̀ɑ̀’ tē’. | Le plus tôt possible. (Litt. avant que le coq ne chante) | As soon as possible. (Before the rooster crows),"Add punctuation at the end, e.g., 'Tɑ́ khʉ̀ɑ̀' lí' tə̄'. Sì khʉ̀ɑ̀’ tē’. | Le plus tôt possible. (Litt. avant que le coq ne chante) | As soon as possible. (Before the rooster crows).'"
2189,Missing punctuation,"Ngɑ̌ pén yēē. | Merci (à plusieurs personnes). | Thank you, thanks. (To many people)","Add punctuation at the end, e.g., 'Ngɑ̌ pén yēē. | Merci (à plusieurs personnes). | Thank you, thanks. (To many people).'"
2273,Missing punctuation,Ǒ ghʉ̌ mbʉ́ɑ́… Yáá ncāk mɑ́ ó… | Tu dois… tu as le devoir de… | You must…,"Add punctuation at the end, e.g., 'Ǒ ghʉ̌ mbʉ́ɑ́… Yáá ncāk mɑ́ ó… | Tu dois… tu as le devoir de… | You must….'"
2285,Missing punctuation,"Nzâknù 30. Ngɑ̌ yá', Ǹ jǎt sì, Ǹ jǎt tɑ̄ mɑ̄, Ǹ dɑ̀' lɑ́… | Chapitre 30. J'ai déjà…, je n'ai pas encore…, je viens de…, je n'ai jamais… | Chapter 30. I already…, I haven’t yet…, I just…, I never…","Add punctuation at the end, e.g., 'Nzâknù 30. Ngɑ̌ yá', Ǹ jǎt sì, Ǹ jǎt tɑ̄ mɑ̄, Ǹ dɑ̀' lɑ́… | Chapitre 30. J'ai déjà…, je n'ai pas encore…, je viens de…, je n'ai jamais… | Chapter 30. I already…, I haven’t yet…, I just…, I never….'"
2290,Missing punctuation,Ǹ dɑ̀'… Ǹ dɑ̀' lɑ́… | Je n'ai jamais … | I have never …,"Add punctuation at the end, e.g., 'Ǹ dɑ̀'… Ǹ dɑ̀' lɑ́… | Je n'ai jamais … | I have never ….'"
2292,Missing punctuation,Ò lɑ̀' (lɑ́) … À lɑ̀' (lɑ́) … | Tu n'as jamais … Il/elle n'a jamais … | You have never … He/she has never …,"Add punctuation at the end, e.g., 'Ò lɑ̀' (lɑ́) … À lɑ̀' (lɑ́) … | Tu n'as jamais … Il/elle n'a jamais … | You have never … He/she has never ….'"
2301,Missing capitalization,(Sə̀ə̄)Wèn lɑ̀' péé mɑ̄ ā (bɑ̄). | Personne n'a jamais détesté sa mère. | No one ever hates his mother.,Capitalize the first letter: '(Sə̀ə̄)Wèn lɑ̀' péé mɑ̄ ā (bɑ̄). | Personne n'a jamais détesté sa mère. | No one ever hates his mother.'
2303,Missing punctuation,"Wèn lɑ̀' zhī (Zén wèn bɑ́). | On n'a jamais su. (Nom propre, Weladji) | We never knew. (Proper name, Weladji)","Add punctuation at the end, e.g., 'Wèn lɑ̀' zhī (Zén wèn bɑ́). | On n'a jamais su. (Nom propre, Weladji) | We never knew. (Proper name, Weladji).'"
2391,Missing punctuation,Selected Published books for Nufi Languages,"Add punctuation at the end, e.g., 'Selected Published books for Nufi Languages.'"
2398,Missing punctuation,"Rodrigue Tchamna, “African tales, Bamiléké fairy tales, English-French”, (100 pages), 244 grams, ISBN/EAN13:151870445X/9781518704451, Nov 05 2015. Link: https://amzn.to/2JTPVo4","Add punctuation at the end, e.g., 'Rodrigue Tchamna, “African tales, Bamiléké fairy tales, English-French”, (100 pages), 244 grams, ISBN/EAN13:151870445X/9781518704451, Nov 05 2015. Link: https://amzn.to/2JTPVo4.'"
